filename,k,penalty_f,avg miscls rate,tstat,pvalue
standard-finetune-v3-breast-cancer-18-10-18-17-56.csv,0,L1,0.042,,
standard-finetune-v3-breast-cancer-18-10-18-17-56.csv,0,SCAD-L1,0.042,nan,nan
standard-finetune-v3-breast-cancer-18-10-18-17-56.csv,0,MCP-L1,0.0402,0.9929466864316148,0.3466800623058861
standard-finetune-v3-breast-cancer-18-10-18-17-56.csv,1,L1,0.0353,,
standard-finetune-v3-breast-cancer-18-10-18-17-56.csv,1,SCAD-L1,0.0351,0.38876912518207035,0.7064843740168318
standard-finetune-v3-breast-cancer-18-10-18-17-56.csv,1,MCP-L1,0.0344,2.9976247027154743,0.015014084229038029
standard-finetune-v3-car-18-10-19-07-54.csv,0,L1,0.1715,,
standard-finetune-v3-car-18-10-19-07-54.csv,0,SCAD-L1,0.1492,2.192682638890514,0.05600479709698961
standard-finetune-v3-car-18-10-19-07-54.csv,0,MCP-L1,0.1478,2.3063421968985045,0.04651412649547404
standard-finetune-v3-car-18-10-19-07-54.csv,1,L1,0.1039,,
standard-finetune-v3-car-18-10-19-07-54.csv,1,SCAD-L1,0.1036,0.4602659231089914,0.6562433340838192
standard-finetune-v3-car-18-10-19-07-54.csv,1,MCP-L1,0.1031,1.2763161318783571,0.23379352780126111
standard-finetune-v3-winequality-18-10-18-20-27.csv,0,L1,0.3461,,
standard-finetune-v3-winequality-18-10-18-20-27.csv,0,SCAD-L1,0.3527,-2.1970639692293807,0.05560616003471474
standard-finetune-v3-winequality-18-10-18-20-27.csv,0,MCP-L1,0.3514,-1.4706257704101693,0.17546821466542797
standard-finetune-v3-winequality-18-10-18-20-27.csv,1,L1,0.3508,,
standard-finetune-v3-winequality-18-10-18-20-27.csv,1,SCAD-L1,0.3503,0.8276364181079842,0.4292750029207947
standard-finetune-v3-winequality-18-10-18-20-27.csv,1,MCP-L1,0.3502,0.8137334712067419,0.4367963580072437
standard-finetune-v3-iris-18-10-18-17-13.csv,0,L1,0.036,,
standard-finetune-v3-iris-18-10-18-17-13.csv,0,SCAD-L1,0.0333,1.176693636609623,0.2695006582613495
standard-finetune-v3-iris-18-10-18-17-13.csv,0,MCP-L1,0.0347,1.0,0.34343639613791355
standard-finetune-v3-iris-18-10-18-17-13.csv,1,L1,0.0387,,
standard-finetune-v3-iris-18-10-18-17-13.csv,1,SCAD-L1,0.0387,nan,nan
standard-finetune-v3-iris-18-10-18-17-13.csv,1,MCP-L1,0.0387,nan,nan
standard-finetune-v3-heart-disease-18-10-18-18-43.csv,0,L1,0.1478,,
standard-finetune-v3-heart-disease-18-10-18-18-43.csv,0,SCAD-L1,0.1478,6.014523407381675e-16,0.9999999999999996
standard-finetune-v3-heart-disease-18-10-18-18-43.csv,0,MCP-L1,0.1436,1.2992783790729003,0.2261433596508751
standard-finetune-v3-heart-disease-18-10-18-18-43.csv,1,L1,0.1426,,
standard-finetune-v3-heart-disease-18-10-18-18-43.csv,1,SCAD-L1,0.1442,-1.1028219331407116,0.2987189818317307
standard-finetune-v3-heart-disease-18-10-18-18-43.csv,1,MCP-L1,0.1455,-2.21192618540141,0.05427441349738838
standard-finetune-v3-wine-18-10-18-19-17.csv,0,L1,0.0376,,
standard-finetune-v3-wine-18-10-18-19-17.csv,0,SCAD-L1,0.0376,nan,nan
standard-finetune-v3-wine-18-10-18-19-17.csv,0,MCP-L1,0.0365,0.9999999999999998,0.34343639613791366
standard-finetune-v3-wine-18-10-18-19-17.csv,1,L1,0.0337,,
standard-finetune-v3-wine-18-10-18-19-17.csv,1,SCAD-L1,0.0343,-1.0,0.34343639613791355
standard-finetune-v3-wine-18-10-18-19-17.csv,1,MCP-L1,0.0343,-1.0,0.34343639613791355
